ObservationDate,Country/Region,Confirmed,Deaths,Recovered,Tests,Population,Latitude,Longitude
2021-05-24,US,487,6,310,3379,331000000,-11.333956901942141,-112.92251090392509
2021-09-29,Taiwan,491,8,346,3190,24000000,23.51434070013977,53.098493179123295
2021-07-10,US,514,8,319,1624,331000000,49.10511586905635,-95.8750120835455
2021-04-26,India,413,10,203,2817,1380000000,40.59979233827825,-14.243411315504233
2020-04-23,Brazil,278,7,206,2060,212000000,-7.427094580768035,68.05194054506822
2020-06-26,China,304,6,187,1464,1402000000,55.75946248790588,-88.74399387522558
2020-11-22,US,378,10,276,3320,331000000,-34.794328654909954,140.47539478126936
2022-03-25,Italy,543,3,345,1088,60000000,31.73303335464837,111.32176248533031
2020-03-05,Italy,313,8,70,2376,60000000,10.29596442736699,106.36783470192884
2021-09-25,Brazil,543,6,148,3458,212000000,13.084405682747004,45.12238438602631
2021-11-04,India,477,6,362,3585,1380000000,6.457311362972121,17.391843247174506
2022-01-17,Brazil,517,7,221,1580,212000000,1.8915533607188166,19.275765401178433
2020-04-17,Spain,306,4,178,2169,47000000,56.14235462972043,-103.7206516079622
2020-07-31,Spain,343,4,180,2376,47000000,54.24407358105444,41.09271774143011
2022-01-25,US,560,3,215,3698,331000000,16.581887683712665,-119.647485725944
2020-07-15,Italy,311,5,130,2523,60000000,52.06009691086393,-42.689221473911275
2021-03-29,US,425,7,235,3587,331000000,52.48238793333037,-14.429506757853801
2021-04-04,Spain,456,12,331,2638,47000000,18.291938016177255,25.86344408437978
2021-12-02,India,484,12,239,1844,1380000000,37.50202679046579,43.04974615490764
2020-06-24,India,323,3,172,1488,1380000000,-16.90661793816037,-14.943467482175976
2020-07-05,US,354,6,155,2511,331000000,39.21348387567198,105.09279640638678
2021-10-24,US,491,14,380,2164,331000000,-3.874971392086543,-37.75336692595177
2021-08-12,China,517,14,459,2983,1402000000,56.73590062745771,72.74125779391073
2020-02-17,US,275,6,183,2143,331000000,-29.859025234134435,-107.2901303300684
2021-08-31,US,414,10,116,2172,331000000,-19.764345868668485,52.89374202194571
2021-07-22,India,462,3,130,3377,1380000000,-34.13128280714227,-98.23488750444406
2021-10-28,US,517,14,460,1808,331000000,55.48237365788161,55.48486129630635
2020-09-09,US,309,3,182,1723,331000000,-0.08943720542806233,32.46040562334929
2021-02-18,US,338,8,82,2124,331000000,-8.442899544963566,35.67807711479159
2020-10-28,India,361,8,120,2553,1380000000,11.978826547487579,42.49643591607446
2021-05-28,China,453,12,131,2481,1402000000,-11.186665001171068,11.788930988105761
2021-12-20,Taiwan,532,15,414,2967,24000000,6.457241242421269,-56.27965813947657
2020-07-12,US,311,1,72,1671,331000000,15.970472923761683,-39.65725720336711
2020-09-17,Italy,319,6,95,736,60000000,-0.8855085798058226,-68.2699609091254
2020-02-08,Italy,293,6,88,2637,60000000,42.10989282311762,-66.19940222813918
2021-03-25,India,429,2,99,3533,1380000000,-36.41710682790334,-62.417945481432994
2020-12-13,China,328,7,183,3035,1402000000,25.762682744340168,-78.9632101073538
2020-12-12,US,379,2,281,1699,331000000,23.708818421605784,-15.18785856593378
2021-01-24,US,380,8,157,933,331000000,-39.272767559681206,56.25239282310085
2021-12-14,Taiwan,552,11,240,3298,24000000,-8.716766236894543,18.23995886714036
2020-11-26,US,404,2,225,1436,331000000,21.585024271397536,-33.162968465976306
2020-08-10,India,364,9,178,1980,1380000000,29.239681743941375,2.478295226885365
2021-12-11,India,503,11,119,2634,1380000000,-28.50641193392005,123.76755147760142
2020-12-21,Spain,412,10,164,3314,47000000,19.909011718312897,-70.90884923836511
2022-02-16,Taiwan,522,13,367,3823,24000000,-35.952070299332874,112.90450962642132
2020-02-09,Taiwan,273,5,103,1583,24000000,37.1733954353397,115.8822218340822
2020-07-24,China,288,2,80,2899,1402000000,-12.545702100883737,126.40082179240056
2021-08-09,China,470,12,261,1526,1402000000,28.009252246959377,-11.698338020479298
2020-03-08,Brazil,267,4,109,2234,212000000,12.448228667315355,-51.588030881917845
2020-10-29,US,390,3,105,2118,331000000,26.02286376821047,-107.86655271386695
2020-06-10,China,298,5,170,2587,1402000000,44.94589285100402,-55.50664397943498
2020-01-31,US,271,5,196,2106,331000000,3.6125573491527945,-51.26604727613949
2022-02-03,Spain,584,3,398,3089,47000000,-11.670423550771979,-7.47412752379843
2022-01-15,India,588,10,368,2116,1380000000,5.919263161400522,116.65615617168109
2022-01-23,US,556,7,452,2272,331000000,-9.692410486878764,99.6970316476212
2021-12-08,Taiwan,514,13,140,2664,24000000,42.61355311432513,17.870753485059225
2021-03-30,Taiwan,459,8,211,1506,24000000,-37.01924391819321,-53.44783206723967
2020-07-11,China,357,1,313,1560,1402000000,33.71427730633734,-76.09949364487639
2021-02-01,India,373,2,167,1179,1380000000,28.695734176017112,-33.559725390810925
2021-10-07,India,485,7,105,3840,1380000000,-11.939979466775917,102.32300659561912
2020-12-19,China,356,2,122,1394,1402000000,21.533748301560507,115.58214519318227
2021-07-04,Brazil,439,9,303,1814,212000000,35.609217581043296,-15.822733568610559
2021-08-26,Taiwan,522,10,335,2754,24000000,54.85883842766275,105.05549419808685
2020-08-03,US,315,3,238,1097,331000000,-34.12889738715641,18.228793794501144
2020-09-17,India,347,9,246,1154,1380000000,-13.740617452650081,139.81737460074106
2020-10-26,India,376,6,259,3581,1380000000,59.42915485865082,-80.92584664661254
2021-01-10,US,417,4,151,1431,331000000,41.38786247047307,-83.37930201518552
2022-02-14,Brazil,531,8,289,3616,212000000,-19.157253573770237,5.523571517242004
2022-01-28,Brazil,593,5,447,3789,212000000,-23.59538078129627,-2.378367541349448
2020-12-19,Italy,396,9,96,1757,60000000,-28.63475695304741,-30.537397394805765
2020-12-19,India,391,7,235,2313,1380000000,22.453545096615912,-31.677592776262486
2020-12-21,Spain,377,3,153,1309,47000000,7.9730772209669425,53.51288974043925
2020-05-06,Brazil,293,8,146,2401,212000000,-14.278533014234117,123.41996461635944
2020-07-20,US,364,8,153,1908,331000000,31.444021701989,-17.145454992577186
2021-05-04,India,443,4,360,1369,1380000000,55.8632101212482,57.310983481036345
2022-01-13,Spain,515,6,224,3168,47000000,53.72338660469279,-114.75651922121693
2021-07-21,US,459,7,405,1943,331000000,28.912109085977832,105.68854258318166
2021-10-06,Italy,524,3,174,2624,60000000,6.353520475263323,127.58602389376335
2020-12-07,US,337,5,133,1055,331000000,17.770453055344404,-40.339374517098406
2021-01-25,Taiwan,445,12,388,1436,24000000,10.67921937939682,-121.16103231540248
2022-03-30,Brazil,541,5,297,1944,212000000,16.044632642047354,-22.921116458420173
2021-05-01,Brazil,420,6,170,1543,212000000,4.236209664620475,77.38981251608783
2020-05-17,US,290,5,126,1362,331000000,-13.078544354960918,129.1542730894468
2020-08-05,India,321,9,181,1374,1380000000,-4.082594676565719,31.359272824040403
